"BehaviorSpace results (NetLogo 6.2.0)"
"tmpSIR.nlogo"
"Analisis_DS_vs_Emax"
"11/21/2025 20:41:29:849 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","densidad-pob","wiggle","probabilidad-contagio","tiempo-enfermedad","distanciamiento-social","infectados-iniciales","[step]","pico-maximo","tiempo-pico","ticks"
"175","60","150","0.8","25","85","5","78","4219","40","78"
"177","60","150","0.8","25","85","5","76","4690","31","76"
"176","60","150","0.8","25","85","5","78","4042","33","78"
"179","60","150","0.8","25","85","5","77","4269","35","77"
"178","60","150","0.8","25","85","5","84","3996","32","84"
"180","60","150","0.8","25","85","5","82","4233","36","82"
"181","60","150","0.8","25","90","5","98","3308","36","98"
"182","60","150","0.8","25","90","5","83","4047","33","83"
"183","60","150","0.8","25","90","5","76","4126","37","76"
"184","60","150","0.8","25","90","5","75","4234","32","75"
"185","60","150","0.8","25","90","5","93","3632","42","93"
"187","60","150","0.8","25","90","5","77","4705","33","77"
"186","60","150","0.8","25","90","5","85","3693","39","85"
"188","60","150","0.8","25","90","5","76","4251","35","76"
"189","60","150","0.8","25","90","5","79","4587","31","79"
"191","60","150","0.8","25","95","5","102","3660","43","102"
"192","60","150","0.8","25","95","5","102","3648","43","102"
"190","60","150","0.8","25","90","5","88","3361","36","88"
"197","60","150","0.8","25","95","5","84","3783","40","84"
"193","60","150","0.8","25","95","5","88","4384","32","88"
"194","60","150","0.8","25","95","5","85","4015","38","85"
"199","60","150","0.8","25","95","5","86","4127","38","86"
"198","60","150","0.8","25","95","5","93","4234","35","93"
"196","60","150","0.8","25","95","5","90","4019","43","90"
"200","60","150","0.8","25","95","5","92","4533","37","92"
"201","60","150","0.8","25","100","5","94","3387","40","94"
"195","60","150","0.8","25","95","5","94","3465","35","94"
"203","60","150","0.8","25","100","5","86","3883","38","86"
"202","60","150","0.8","25","100","5","110","2864","42","110"
"204","60","150","0.8","25","100","5","95","2924","43","95"
"205","60","150","0.8","25","100","5","96","2867","39","96"
"207","60","150","0.8","25","100","5","90","2943","48","90"
"206","60","150","0.8","25","100","5","101","3168","47","101"
"209","60","150","0.8","25","100","5","102","2568","53","102"
"210","60","150","0.8","25","100","5","89","3222","35","89"
"208","60","150","0.8","25","100","5","101","2951","53","101"
